20.26386,12.58306,46.89566,44.52890,7.22420,9.10585,43.80899,58.76984,139.16805,48.13022,100.19717,53.01215,46.76351,105.49724,44.61456,0.00000
32.85020,9.49500,40.51383,39.86689,1.14212,2.54631,30.72214,162.25740,8.63510,16.01642,161.05759,9.92288,15.34548,157.18185,8.88523,0.00000
33.14977,10.78286,38.51839,39.81957,1.05578,3.22179,27.94366,162.83424,8.17160,11.98876,165.60846,8.21774,16.63669,157.74890,7.67504,0.00000
34.46839,3.64390,23.07957,27.85390,1.52835,3.10923,17.02787,173.51672,2.88034,4.50459,171.97961,2.44545,19.95879,155.15822,5.41553,0.00000
34.96546,8.56422,40.88863,39.27588,0.76299,2.46997,30.45158,161.52267,9.19020,15.58822,160.93896,10.08214,15.20032,158.49995,8.53560,0.00000
35.30588,7.52523,42.53115,38.79139,0.33638,2.36254,31.64527,160.68626,10.66299,18.60936,158.35985,11.46331,14.88100,156.13417,10.18574,0.00000
23.75897,13.78484,38.58728,18.74662,4.38645,1.13728,8.58265,147.66954,18.06050,23.16964,142.80850,17.54711,31.10003,137.08549,19.46407,0.00000
22.77867,4.94437,28.90653,19.53051,6.05932,4.53450,33.08313,123.01553,26.12394,64.98788,115.40741,25.32866,69.57992,99.88108,31.32893,0.00000
18.93969,6.28221,16.73203,14.91936,1.86591,4.54862,1.42165,167.21829,7.48506,13.45637,159.95175,8.75441,24.87832,148.47580,14.19584,0.00000
23.44802,7.28836,11.94404,41.70812,0.82950,6.73686,9.39421,148.46091,20.57195,39.51574,130.90981,19.04106,60.79858,113.63788,18.79219,0.00000
23.19383,9.96813,29.23966,30.87520,1.21216,2.47043,19.83855,166.84575,6.86977,6.58691,155.07411,12.49981,24.62998,142.16576,11.87587,0.00000
22.83485,4.13066,30.50865,27.56835,8.35095,4.29958,15.84246,134.35945,18.75210,49.63857,123.48322,20.70291,53.44847,110.35550,23.01710,0.00000
24.34027,8.62593,10.86113,41.97592,1.51365,6.70384,15.48649,154.54715,16.27564,37.24564,135.86760,14.80353,65.76192,110.22514,14.19263,0.00000
13.44962,11.23190,72.85029,10.69277,4.76784,3.99024,18.09635,140.64307,28.47582,29.03606,139.08890,26.92219,33.47104,132.84531,32.98249,0.00000
27.32536,3.36113,19.56823,43.51766,3.79325,3.57310,33.54894,140.73787,16.54571,19.15930,134.29561,18.96197,46.16489,117.55864,14.07811,0.00000
25.17764,8.35221,18.53367,35.29836,4.21100,7.60170,14.68390,130.07301,24.68064,33.34865,120.85072,25.97955,56.47089,100.17542,25.12621,0.00000
25.65089,11.32262,19.14978,51.30455,0.21205,7.19239,31.89154,151.24469,12.06032,21.78236,131.64053,17.47074,54.82373,103.17710,13.55420,0.00000
9.78461,15.48149,77.25285,12.17224,5.15179,4.65724,17.79245,133.97989,34.58790,29.19420,138.72269,28.53095,34.95468,134.50905,33.99963,0.00000
38.30046,4.46211,39.97834,31.38409,1.58457,1.73198,35.32322,151.45995,14.53467,22.72507,153.95494,14.79649,9.26359,155.97627,13.69115,0.00000
26.18121,10.30619,18.13814,51.42113,2.46870,6.64239,31.57181,137.17070,17.73129,28.52493,118.97204,21.67469,57.60310,94.99185,17.69852,0.00000
26.05410,6.16922,44.08449,27.97038,0.17876,3.19698,25.10266,166.63992,8.82488,21.20933,162.54156,8.48441,29.38858,156.25371,10.32978,0.00000
28.31915,8.70094,42.09156,23.82100,4.92150,4.37515,13.13316,149.64038,24.77071,24.07795,145.02554,24.36068,32.13752,138.66455,29.82560,0.00000
23.63964,5.83979,14.39687,42.25249,1.01974,5.93350,19.87937,156.19252,18.32444,32.20286,130.26073,21.26577,61.00198,107.31564,17.81892,0.00000
26.29046,7.42918,23.08442,33.77981,3.97630,8.27871,15.70161,126.86193,27.22239,36.47114,117.55174,29.20003,57.94844,97.99882,26.92917,0.00000
